snapshot_id,prediction_id,fixture_id,match_date,match_time,home_team,away_team,league,sample_phase,source_name,source_type,source_quality,selection,market_odds,fair_odds,probability,market_implied_probability,probability_edge,ev,match_confidence
ab43b9bb737dc9a93040,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,4.45,3.65,0.274,0.224719,0.049281,0.2193,1.0
285fe92347120a49fe5a,5a1893b36971c536f4f6,fd_P1_2026-05-11_Benfica_Sp_Braga,2026-05-11,20:15,Benfica,Sp Braga,P1,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,6.61,2.87,0.3488,0.151286,0.197514,1.305568,1.0
c84de52b379ef7e1ab4f,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,3.5,2.65,0.3772,0.285714,0.091486,0.3202,1.0
90a304e5a82bb2054066,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.6,3.65,0.274,0.277778,-0.003778,-0.0136,1.0
ccb9e262ec2fa39029a6,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_bet365_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,1.96,2.87,0.3488,0.510204,-0.161404,-0.316352,1.0
b064ce7d936fad34d47c,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,3.7,2.65,0.3772,0.27027,0.10693,0.39564,1.0
bcae0ea20046988886d9,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.6,3.65,0.274,0.277778,-0.003778,-0.0136,1.0
cd0f37e321aaff0f853a,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_max_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,away,2.0,2.87,0.3488,0.5,-0.1512,-0.3024,1.0
6d01aa1bf6214d1e628c,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,home,3.51,2.65,0.3772,0.2849,0.0923,0.323972,1.0
a0b101d8ee8ad2653d12,f3a5bbf9203d8903e4e0,fd_P1_2026-05-11_Estrela_Famalicao,2026-05-11,20:15,Estrela,Famalicao,P1,automatic_forward_price_proxy,football_data_average_market_proxy,delayed_market_proxy,free_delayed_fixture_odds_proxy,draw,3.42,3.65,0.274,0.292398,-0.018398,-0.06292,1.0
