fixture_id,match_date,match_time,side,source_team,normalized_source_team,matched_model_team,match_type,suggested_model_team
odds_api_io_71792738,2026-06-02,09:30,away_team,Brisbane Roar FC,brisbane roar,,unmatched,
odds_api_io_68311642,2026-06-03,17:00,home_team,BK Olympic,bk olympic,,unmatched,
odds_api_io_68311642,2026-06-03,17:00,away_team,Lunds BK,lunds bk,,unmatched,
odds_api_io_71802536,2026-06-03,08:15,home_team,Broadmeadow Magic FC,broadmeadow magic,,unmatched,
odds_api_io_71802536,2026-06-03,08:15,away_team,Maitland FC,maitland,,unmatched,
odds_api_io_71747010,2026-06-03,00:10,home_team,CA Barracas Central,ca barracas central,,unmatched,
odds_api_io_71747010,2026-06-03,00:10,away_team,CA Huracan,ca huracan,,unmatched,
odds_api_io_71702728,2026-06-03,00:30,home_team,CD Junior FC,cd junior,,unmatched,
odds_api_io_71702728,2026-06-03,00:30,away_team,Atletico Nacional Medellin,atletico nacional medellin,,unmatched,
odds_api_io_71792666,2026-06-03,00:00,home_team,Fortaleza EC CE,fortaleza ec ce,,unmatched,
odds_api_io_71792666,2026-06-03,00:00,away_team,EC Vitoria BA,ec vitoria ba,,unmatched,
odds_api_io_68883304,2026-06-03,20:30,home_team,France,france,,unmatched,
odds_api_io_68883304,2026-06-03,20:30,away_team,Japan,japan,,unmatched,
odds_api_io_71546946,2026-06-03,22:00,home_team,GV Club Deportivo San Jose de Oruro,gv club deportivo san jose de oruro,,unmatched,
odds_api_io_71546946,2026-06-03,22:00,away_team,CD Real Tomayapo,cd real tomayapo,,unmatched,
odds_api_io_71468722,2026-06-03,00:00,home_team,Haiti,haiti,,unmatched,
odds_api_io_71468722,2026-06-03,00:00,away_team,New Zealand,new zealand,,unmatched,
odds_api_io_71814042,2026-06-03,09:00,home_team,Hawkesbury City SC,hawkesbury city sc,,unmatched,
odds_api_io_71814042,2026-06-03,09:00,away_team,Gladesville Ryde Magic,gladesville ryde magic,,unmatched,
odds_api_io_71803502,2026-06-03,06:00,home_team,Indonesia,indonesia,,unmatched,
odds_api_io_71803502,2026-06-03,06:00,away_team,Singapore,singapore,,unmatched,
odds_api_io_70771306,2026-06-03,13:00,home_team,Japan,japan,,unmatched,
odds_api_io_70771306,2026-06-03,13:00,away_team,Portugal,portugal,,unmatched,
odds_api_io_71399484,2026-06-03,18:45,home_team,Luxembourg,luxembourg,,unmatched,
odds_api_io_71399484,2026-06-03,18:45,away_team,Italy,italy,,unmatched,
odds_api_io_69621688,2026-06-03,18:45,home_team,Netherlands,netherlands,,unmatched,
odds_api_io_69621688,2026-06-03,18:45,away_team,Algeria,algeria,,suggested_alias_needed,Almeria
odds_api_io_70673122,2026-06-03,15:00,home_team,Pakistan,pakistan,,unmatched,
odds_api_io_70673122,2026-06-03,15:00,away_team,West Indies,west indies,,unmatched,
odds_api_io_71792798,2026-06-03,07:00,home_team,Pakistan Panthers,pakistan panthers,,unmatched,
odds_api_io_71792798,2026-06-03,07:00,away_team,Asian Stars,asian stars,,unmatched,
odds_api_io_70993382,2026-06-03,18:45,home_team,Poland,poland,,unmatched,
odds_api_io_70993382,2026-06-03,18:45,away_team,Nigeria,nigeria,,unmatched,
odds_api_io_68310938,2026-06-03,17:30,home_team,Vasalunds IF,vasalunds if,,unmatched,
odds_api_io_68310938,2026-06-03,17:30,away_team,FC Jarfalla,jarfalla,,unmatched,
odds_api_io_67172614,2026-06-04,00:00,home_team,Birmingham Legion FC,birmingham legion,,unmatched,
odds_api_io_67172614,2026-06-04,00:00,away_team,Louisville City FC,louisville city,,unmatched,
odds_api_io_71056938,2026-06-04,12:30,home_team,Can Tho Catfish,can tho catfish,,unmatched,
odds_api_io_71056938,2026-06-04,12:30,away_team,Hanoi Buffaloes,hanoi buffaloes,,unmatched,
odds_api_io_68664088,2026-06-04,09:00,home_team,DH van Hien,dh van hien,,unmatched,
odds_api_io_68664088,2026-06-04,09:00,away_team,K. Khanh Hoa,k khanh hoa,,unmatched,
odds_api_io_71228780,2026-06-04,19:10,home_team,France,france,,unmatched,
odds_api_io_71228780,2026-06-04,19:10,away_team,Ivory Coast,ivory coast,,unmatched,
odds_api_io_71803506,2026-06-04,06:00,home_team,Indonesia,indonesia,,unmatched,
odds_api_io_71803506,2026-06-04,06:00,away_team,Kuwait,kuwait,,unmatched,
odds_api_io_70673124,2026-06-04,15:00,home_team,Ireland,ireland,,unmatched,
odds_api_io_70673124,2026-06-04,15:00,away_team,Pakistan,pakistan,,unmatched,
odds_api_io_71803446,2026-06-04,06:00,home_team,Japan,japan,,unmatched,
odds_api_io_71803446,2026-06-04,06:00,away_team,Mongolia,mongolia,,unmatched,
odds_api_io_71782694,2026-06-04,11:00,home_team,Maldives,maldives,,unmatched,
odds_api_io_71782694,2026-06-04,11:00,away_team,Pakistan,pakistan,,unmatched,
odds_api_io_71561890,2026-06-04,09:00,home_team,Myanmar,myanmar,,unmatched,
odds_api_io_71561890,2026-06-04,09:00,away_team,Vietnam,vietnam,,unmatched,
odds_api_io_71443988,2026-06-04,16:00,home_team,Northern Ireland,northern ireland,,unmatched,
odds_api_io_71443988,2026-06-04,16:00,away_team,Guinea,guinea,,unmatched,
odds_api_io_71443868,2026-06-04,19:00,home_team,Spain,spain,,unmatched,
odds_api_io_71443868,2026-06-04,19:00,away_team,Iraq,iraq,,unmatched,
odds_api_io_71399598,2026-06-04,17:00,home_team,Sweden,sweden,,unmatched,
odds_api_io_71399598,2026-06-04,17:00,away_team,Greece,greece,,unmatched,
odds_api_io_71561936,2026-06-04,13:00,home_team,Timor-Leste,timor-leste,,unmatched,
odds_api_io_71561936,2026-06-04,13:00,away_team,Indonesia,indonesia,,unmatched,
odds_api_io_71056940,2026-06-05,12:30,home_team,Da Nang Dragons,da nang dragons,,unmatched,
odds_api_io_71056940,2026-06-05,12:30,away_team,Saigon Heat,saigon heat,,unmatched,
odds_api_io_68160592,2026-06-05,10:30,home_team,Eltham Redbacks FC,eltham redbacks,,unmatched,
odds_api_io_68160592,2026-06-05,10:30,away_team,FC Bulleen Lions,bulleen lions,,unmatched,
odds_api_io_71856272,2026-06-05,13:00,home_team,FC Hunters,hunters,,unmatched,
odds_api_io_71856272,2026-06-05,13:00,away_team,Bulawayo Chiefs FC,bulawayo chiefs,,unmatched,
odds_api_io_71598450,2026-06-05,13:00,home_team,Indonesia,indonesia,,unmatched,
odds_api_io_71598450,2026-06-05,13:00,away_team,Oman,oman,,unmatched,
odds_api_io_71792806,2026-06-05,07:00,home_team,Pakistan Panthers,pakistan panthers,,unmatched,
odds_api_io_71792806,2026-06-05,07:00,away_team,Afghanistan Pathans,afghanistan pathans,,unmatched,
odds_api_io_68883328,2026-06-05,20:30,home_team,Ukraine,ukraine,,unmatched,
odds_api_io_68883328,2026-06-05,20:30,away_team,Japan,japan,,unmatched,
odds_api_io_68159890,2026-06-06,02:00,home_team,Avondale FC,avondale,,unmatched,
odds_api_io_68159890,2026-06-06,02:00,away_team,Melbourne Victory FC,melbourne victory,,unmatched,
odds_api_io_68162420,2026-06-06,05:00,home_team,Avondale FC,avondale,,unmatched,
odds_api_io_68162420,2026-06-06,05:00,away_team,Melbourne Victory FC Youth,melbourne victory youth,,unmatched,
odds_api_io_68664080,2026-06-06,09:00,home_team,Bac Ninh,bac ninh,,unmatched,
odds_api_io_68664080,2026-06-06,09:00,away_team,PVF Cand B,pvf cand b,,unmatched,
odds_api_io_71750086,2026-06-06,21:30,home_team,Club Nacional de Football,club nacional de football,,unmatched,
odds_api_io_71750086,2026-06-06,21:30,away_team,CA Juventud de Las Piedras,ca juventud de las piedras,,unmatched,
odds_api_io_71792810,2026-06-06,10:00,home_team,Indian Royals,indian royals,,unmatched,
odds_api_io_71792810,2026-06-06,10:00,away_team,Pakistan Panthers,pakistan panthers,,unmatched,
odds_api_io_71774160,2026-06-06,10:00,home_team,Iran,iran,,unmatched,
odds_api_io_71774160,2026-06-06,10:00,away_team,Indonesia,indonesia,,unmatched,
odds_api_io_70771310,2026-06-06,13:00,home_team,Japan,japan,,unmatched,
odds_api_io_70771310,2026-06-06,13:00,away_team,Canada Youth,canada youth,,unmatched,
odds_api_io_71803448,2026-06-06,01:30,home_team,Japan,japan,,unmatched,
odds_api_io_71803448,2026-06-06,01:30,away_team,Myanmar,myanmar,,unmatched,
odds_api_io_71716702,2026-06-06,05:00,home_team,Kashima Antlers,kashima antlers,,unmatched,
odds_api_io_71716702,2026-06-06,05:00,away_team,Vissel Kobe,vissel kobe,,unmatched,
odds_api_io_68162424,2026-06-06,05:00,home_team,Keilor Park SC,keilor park sc,,unmatched,
odds_api_io_68162424,2026-06-06,05:00,away_team,FC Bulleen Lions,bulleen lions,,unmatched,
odds_api_io_68159906,2026-06-06,02:45,home_team,Keilor Park SC,keilor park sc,,unmatched,
odds_api_io_68159906,2026-06-06,02:45,away_team,FC Bulleen Lions U20,bulleen lions u20,,unmatched,
odds_api_io_68664084,2026-06-06,09:00,home_team,Long An FC,long an,,unmatched,
odds_api_io_68664084,2026-06-06,09:00,away_team,Quy Nhon Binh Dinh,quy nhon binh dinh,,unmatched,
odds_api_io_71803508,2026-06-06,01:30,home_team,Malaysia,malaysia,,unmatched,
odds_api_io_71803508,2026-06-06,01:30,away_team,Indonesia,indonesia,,unmatched,
odds_api_io_68664086,2026-06-06,09:00,home_team,Quang Ninh FC,quang ninh,,unmatched,
