fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality,raw_source_url
fd_D2_2026-05-17_Magdeburg_Kaiserslautern,2026-05-17,14:30,Magdeburg,Kaiserslautern,D2,football_data_max_market_proxy,delayed_market_proxy,1.77,4.33,4.2,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Magdeburg_Kaiserslautern,2026-05-17,14:30,Magdeburg,Kaiserslautern,D2,football_data_average_market_proxy,delayed_market_proxy,1.69,4.12,3.93,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Schalke_04_Braunschweig,2026-05-17,14:30,Schalke 04,Braunschweig,D2,football_data_bet365_proxy,delayed_market_proxy,1.9,3.6,3.7,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Schalke_04_Braunschweig,2026-05-17,14:30,Schalke 04,Braunschweig,D2,football_data_max_market_proxy,delayed_market_proxy,1.9,4.0,3.9,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Schalke_04_Braunschweig,2026-05-17,14:30,Schalke 04,Braunschweig,D2,football_data_average_market_proxy,delayed_market_proxy,1.83,3.73,3.59,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Man_United_Nott'm_Forest,2026-05-17,12:30,Man United,Nott'm Forest,premier_league,football_data_bet365_proxy,delayed_market_proxy,1.6,4.2,5.25,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Man_United_Nott'm_Forest,2026-05-17,12:30,Man United,Nott'm Forest,premier_league,football_data_max_market_proxy,delayed_market_proxy,1.62,4.33,5.25,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Man_United_Nott'm_Forest,2026-05-17,12:30,Man United,Nott'm Forest,premier_league,football_data_average_market_proxy,delayed_market_proxy,1.58,4.23,4.94,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Brentford_Crystal_Palace,2026-05-17,15:00,Brentford,Crystal Palace,premier_league,football_data_bet365_proxy,delayed_market_proxy,1.73,4.2,4.33,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_E0_2026-05-17_Brentford_Crystal_Palace,2026-05-17,15:00,Brentford,Crystal Palace,premier_league,football_data_max_market_proxy,delayed_market_proxy,1.77,4.5,4.4,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
